"TOA5","CUSAT_ACARR_AWS-Main_Campus","CR300","22859","CR300.Std.10.07","CPU:ACARR_Main_Campus_22092023.cr300","6291","Minute"
"TIMESTAMP","RECORD","BattV_Avg","SlrW_Avg","AirTC_Avg","RH","Rain_mm_Tot","Rain_mm_a","WS_ms_S_WVT","WS_ms_U_WVT","WindDir_DU_WVT","WindDir_SDU_WVT","WindDir_D1_WVT","WS_ms_Max","WS_ms_TMx","WS_Gust_1_Max","WS_Gust_1_dir_SMM","BP_Avg","BP_corr_Avg"
"TS","RN","Volts","W/m^2","Deg C","%","mm","","","","Deg","Deg","Deg","","","","","mBar","mBar"
"","","Avg","Avg","Avg","Smp","Tot","Smp","WVc","WVc","WVc","WVc","WVc","Max","TMx","Max","SMM","Avg","Avg"
"2024-05-27 23:51:00",357545,12.8,0.014,25.46,100,0,44.79988,0.233,0.23,5.003,9.03,5.836,0.39,"2024-05-27 23:50:05",0,0,1005.184,1009.143
"2024-05-27 23:52:00",357546,12.8,0.006,25.45,99.9,0,44.79988,0.058,0.056,25.94,14.41,30.95,0.13,"2024-05-27 23:51:05",0,0,1005.222,1009.181
"2024-05-27 23:53:00",357547,12.8,0.004,25.46,99.9,0,44.79988,0.258,0.253,359.1,11.06,356.3,0.43,"2024-05-27 23:52:55",0,0,1005.189,1009.147
"2024-05-27 23:54:00",357548,12.8,0.016,25.48,100,0,44.79988,0.637,0.628,0.659,9.24,359.7,0.99,"2024-05-27 23:53:55",0,0,1005.157,1009.115
"2024-05-27 23:55:00",357549,12.81,0.003,25.47,99.9,0,44.79988,0.66,0.648,12.69,11.05,12.39,0.97,"2024-05-27 23:54:10",0,0,1005.131,1009.089
"2024-05-27 23:56:00",357550,12.8,0.009,25.49,99.9,0,44.79988,0.308,0.293,2.976,17.46,1.985,0.49,"2024-05-27 23:55:40",0,0,1005.094,1009.052
"2024-05-27 23:57:00",357551,12.81,0.01,25.51,99.9,0,44.79988,0.236,0.201,290.1,31.35,301.2,0.38,"2024-05-27 23:56:50",0,0,1005.072,1009.03
"2024-05-27 23:58:00",357552,12.8,0.006,25.48,99.9,0,44.79988,0.175,0.151,243.8,29.97,245.3,0.28,"2024-05-27 23:57:05",0,0,1004.997,1008.955
"2024-05-27 23:59:00",357553,12.8,0.007,25.48,100,0,44.79988,0.173,0.161,287.1,21.28,293.2,0.27,"2024-05-27 23:58:55",0,0,1005.048,1009.006
"2024-05-28 00:00:00",357554,12.8,0.011,25.46,99.9,0,44.79988,0.389,0.386,244.5,6.968,245.8,0.47,"2024-05-27 23:59:25",0,0,1005.009,1008.967
"2024-05-28 00:01:00",357555,12.79,0.008,25.44,99.9,0,44.79988,0.394,0.393,245.7,4.822,245.9,0.5,"2024-05-28 00:00:50",0,0,1005.034,1008.992
"2024-05-28 00:02:00",357556,12.8,0.013,25.41,100,0,44.79988,0.528,0.518,257.9,10.69,259.1,0.6,"2024-05-28 00:01:15",0,0,1005.088,1009.046
"2024-05-28 00:03:00",357557,12.8,0.013,25.41,99.9,0,44.79988,0.395,0.387,291.8,11.26,292,0.41,"2024-05-28 00:02:10",0,0,1005.055,1009.013
"2024-05-28 00:04:00",357558,12.81,0.011,25.42,99.9,0,44.79988,0.443,0.433,299.5,11.69,300.2,0.6,"2024-05-28 00:03:50",0,0,1005.072,1009.03
"2024-05-28 00:05:00",357559,12.8,0.01,25.43,99.9,0.1,44.89988,0.837,0.831,299.2,6.879,299,0.94,"2024-05-28 00:04:25",0,0,1005.09,1009.048
"2024-05-28 00:06:00",357560,12.79,0.014,25.46,99.9,0.3,45.19988,0.453,0.432,328.8,17.37,330.3,0.94,"2024-05-28 00:06:00",0,0,1005.033,1008.992
"2024-05-28 00:07:00",357561,12.8,0.022,25.47,99.9,0.3,45.49987,0.505,0.48,328.1,18.09,320.5,0.99,"2024-05-28 00:06:05",0,0,1005.009,1008.968
"2024-05-28 00:08:00",357562,12.81,0.014,25.45,99.9,0.1,45.59987,0.91,0.902,300.8,7.618,300.3,1.29,"2024-05-28 00:07:55",0,0,1005.015,1008.973
"2024-05-28 00:09:00",357563,12.8,0.004,25.46,99.9,0,45.59987,0.556,0.453,332.5,34.83,343.3,1.31,"2024-05-28 00:08:05",0,0,1005.01,1008.968
"2024-05-28 00:10:00",357564,12.8,0.007,25.51,99.9,0.1,45.69987,0.465,0.025,289.9,78.78,317.7,1,"2024-05-28 00:09:55",0,0,1004.949,1008.907
"2024-05-28 00:11:00",357565,12.79,0.013,25.59,99.9,0,45.69987,1.472,0.811,315.7,54.27,331.6,2.77,"2024-05-28 00:10:40",0,0,1004.865,1008.823
"2024-05-28 00:12:00",357566,12.8,0.005,25.84,99.9,0,45.69987,1.667,1.562,303.1,20.35,298.9,2.89,"2024-05-28 00:11:10",0,0,1004.849,1008.808
"2024-05-28 00:13:00",357567,12.79,0.009,25.91,99.9,0,45.69987,0.822,0.704,316.5,30.6,312.8,1.44,"2024-05-28 00:13:00",0,0,1004.868,1008.826
"2024-05-28 00:14:00",357568,12.8,0.016,25.77,99.9,0.1,45.79987,1.243,1.064,8.89,30.71,11.75,2.36,"2024-05-28 00:13:30",0,0,1005.033,1008.991
"2024-05-28 00:15:00",357569,12.8,0.009,25.69,99.9,0,45.79987,1.446,1.086,350,40.41,359.1,2.77,"2024-05-28 00:14:45",0,0,1005.077,1009.035
"2024-05-28 00:16:00",357570,12.8,0.016,25.51,99.9,0,45.79987,1.469,1.387,13.83,19.16,15.53,2.73,"2024-05-28 00:15:35",0,0,1004.978,1008.936
"2024-05-28 00:17:00",357571,12.8,0.011,25.42,99.9,0,45.79987,1.042,0.88,52.07,31.88,60.39,2.85,"2024-05-28 00:16:05",0,0,1004.892,1008.85
"2024-05-28 00:18:00",357572,12.79,0.006,25.43,99.9,0,45.79987,0.944,0.529,40.57,53.74,30.1,1.33,"2024-05-28 00:18:00",0,0,1004.866,1008.825
"2024-05-28 00:19:00",357573,12.8,0.007,25.41,99.9,0,45.79987,1.003,0.968,25.47,15.11,28.28,1.79,"2024-05-28 00:19:00",0,0,1004.94,1008.899
"2024-05-28 00:20:00",357574,12.8,0.016,25.41,99.9,0,45.79987,0.818,0.747,17.42,23.87,15.8,1.58,"2024-05-28 00:20:00",0,0,1004.928,1008.887
"2024-05-28 00:21:00",357575,12.8,0.006,25.4,99.9,0,45.79987,0.545,0.32,54.47,52.1,66.34,1.04,"2024-05-28 00:20:10",0,0,1004.901,1008.859
"2024-05-28 00:22:00",357576,12.79,0.01,25.39,99.9,0,45.79987,0.346,0.257,71.26,40.99,77.17,0.53,"2024-05-28 00:21:15",0,0,1004.824,1008.782
"2024-05-28 00:23:00",357577,12.79,0.006,25.39,99.9,0,45.79987,0.258,0.241,309.5,20.63,304.9,0.37,"2024-05-28 00:22:25",0,0,1004.8,1008.759
"2024-05-28 00:24:00",357578,12.79,0.021,25.39,100,0,45.79987,0.114,0.077,272.2,46.36,265.8,0.18,"2024-05-28 00:23:10",0,0,1004.794,1008.752
"2024-05-28 00:25:00",357579,12.8,0.009,25.4,99.9,0,45.79987,0.346,0.316,184.3,23.96,176.2,0.56,"2024-05-28 00:24:35",0,0,1004.863,1008.821
"2024-05-28 00:26:00",357580,12.79,0.012,25.4,99.9,0,45.79987,0.794,0.771,288.7,13.93,285.6,1.02,"2024-05-28 00:25:40",0,0,1004.866,1008.824
"2024-05-28 00:27:00",357581,12.79,0.01,25.42,99.9,0,45.79987,0.324,0.294,328.9,24.81,333.8,0.53,"2024-05-28 00:26:25",0,0,1004.81,1008.768
"2024-05-28 00:28:00",357582,12.78,0.019,25.43,99.9,0,45.79987,0.146,0.087,337.3,51.43,309.8,0.37,"2024-05-28 00:28:00",0,0,1004.789,1008.747
"2024-05-28 00:29:00",357583,12.8,0.011,25.44,99.9,0,45.79987,0.184,0.133,312,42.79,299.3,0.35,"2024-05-28 00:28:05",0,0,1004.756,1008.714
"2024-05-28 00:30:00",357584,12.8,0.017,25.45,100,0,45.79987,0.248,0.206,98.6,33.46,105.2,0.45,"2024-05-28 00:29:55",0,0,1004.75,1008.708
"2024-05-28 00:31:00",357585,12.79,0.016,25.48,99.9,0,45.79987,0.453,0.447,92,9.59,91.4,0.58,"2024-05-28 00:30:30",0,0,1004.693,1008.651
"2024-05-28 00:32:00",357586,12.79,0.013,25.48,99.9,0,45.79987,0.429,0.424,57.57,9.27,57.83,0.5,"2024-05-28 00:31:15",0,0,1004.68,1008.638
"2024-05-28 00:33:00",357587,12.79,0.012,25.49,99.9,0,45.79987,0.449,0.432,42.24,15.8,43.94,0.58,"2024-05-28 00:32:20",0,0,1004.66,1008.619
"2024-05-28 00:34:00",357588,12.79,0.016,25.51,99.9,0,45.79987,0.337,0.333,33.25,8.7,32.94,0.41,"2024-05-28 00:33:05",0,0,1004.622,1008.58
"2024-05-28 00:35:00",357589,12.79,0.006,25.54,100,0,45.79987,0.447,0.43,30.28,15.41,29,0.82,"2024-05-28 00:34:25",0,0,1004.61,1008.568
"2024-05-28 00:36:00",357590,12.87,0.007,25.55,99.9,0,45.79987,0.533,0.519,33.79,13.23,33.23,0.74,"2024-05-28 00:35:10",0,0,1004.606,1008.564
"2024-05-28 00:37:00",357591,12.87,0.011,25.54,99.9,0,45.79987,0.418,0.34,45.47,34.85,59.45,0.84,"2024-05-28 00:36:10",0,0,1004.598,1008.556
"2024-05-28 00:38:00",357592,12.84,0.014,25.55,99.9,0,45.79987,0.478,0.353,24.7,41.51,22.07,0.82,"2024-05-28 00:37:15",0,0,1004.542,1008.5
"2024-05-28 00:39:00",357593,12.8,0.014,25.52,99.9,0,45.79987,0.59,0.584,77.64,8.39,78.07,0.73,"2024-05-28 00:38:20",0,0,1004.509,1008.468
"2024-05-28 00:40:00",357594,12.8,0.008,25.5,99.9,0,45.79987,0.387,0.338,76.08,29.08,78.03,0.55,"2024-05-28 00:39:10",0,0,1004.499,1008.457
"2024-05-28 00:41:00",357595,12.79,0.007,25.49,99.9,0,45.79987,0.304,0.278,91.5,23.96,94.9,0.42,"2024-05-28 00:40:20",0,0,1004.468,1008.426
"2024-05-28 00:42:00",357596,12.8,0.01,25.45,99.9,0,45.79987,0.708,0.687,117.8,14.12,117.2,1.01,"2024-05-28 00:41:25",0,0,1004.439,1008.398
"2024-05-28 00:43:00",357597,12.79,0.005,25.38,99.9,0,45.79987,0.438,0.382,75.04,28.92,72.8,0.51,"2024-05-28 00:42:20",0,0,1004.47,1008.429
"2024-05-28 00:44:00",357598,12.79,0.012,25.38,99.9,0,45.79987,0.371,0.352,41.82,18.48,41.26,0.47,"2024-05-28 00:43:45",0,0,1004.473,1008.432
"2024-05-28 00:45:00",357599,12.78,0.006,25.4,99.9,0,45.79987,0.701,0.69,19.69,10.17,20.27,1.03,"2024-05-28 00:44:30",0,0,1004.463,1008.421
"2024-05-28 00:46:00",357600,12.79,0.012,25.42,100,0,45.79987,0.67,0.651,5.605,13.59,6.841,1.11,"2024-05-28 00:45:05",0,0,1004.445,1008.403
"2024-05-28 00:47:00",357601,12.79,0.008,25.45,99.9,0,45.79987,0.728,0.722,27.78,7.627,28.36,0.93,"2024-05-28 00:46:10",0,0,1004.412,1008.37
"2024-05-28 00:48:00",357602,12.79,0.011,25.44,99.9,0,45.79987,0.391,0.361,24.11,22.25,30.42,0.62,"2024-05-28 00:47:05",0,0,1004.383,1008.341
"2024-05-28 00:49:00",357603,12.79,0.017,25.41,99.9,0,45.79987,0.411,0.393,6.996,16.64,2.708,0.7,"2024-05-28 00:48:55",0,0,1004.35,1008.308
"2024-05-28 00:50:00",357604,12.78,0.004,25.37,99.9,0,45.79987,0.919,0.896,16.02,12.83,15.09,1.36,"2024-05-28 00:49:35",0,0,1004.266,1008.225
"2024-05-28 00:51:00",357605,12.78,0.021,25.33,99.9,0,45.79987,0.477,0.461,25.98,14.84,27.29,0.65,"2024-05-28 00:50:10",0,0,1004.214,1008.172
"2024-05-28 00:52:00",357606,12.78,0.008,25.35,99.9,0,45.79987,0.372,0.355,64.81,17.2,65.27,0.48,"2024-05-28 00:51:45",0,0,1004.181,1008.14
"2024-05-28 00:53:00",357607,12.78,0.009,25.33,99.9,0,45.79987,0.479,0.425,63.28,27.27,76.05,0.91,"2024-05-28 00:52:45",0,0,1004.158,1008.116
"2024-05-28 00:54:00",357608,12.79,0.012,25.25,99.9,0,45.79987,0.277,0.206,55.99,41.01,67.93,0.58,"2024-05-28 00:53:55",0,0,1004.178,1008.136
"2024-05-28 00:55:00",357609,12.79,0.018,25.24,99.9,0,45.79987,0.635,0.581,55.53,23.71,59.39,1.04,"2024-05-28 00:55:00",0,0,1004.196,1008.154
"2024-05-28 00:56:00",357610,12.78,0.007,25.19,99.9,0,45.79987,1.079,0.936,65.89,29.48,67.28,2.03,"2024-05-28 00:55:35",0,0,1004.21,1008.168
"2024-05-28 00:57:00",357611,12.79,0.005,25.15,99.9,0,45.79987,0.839,0.82,43.64,12.35,45.4,1.47,"2024-05-28 00:56:25",0,0,1004.201,1008.159
"2024-05-28 00:58:00",357612,12.78,0.008,25.16,99.9,0,45.79987,0.793,0.767,49.95,14.7,50.08,1.23,"2024-05-28 00:57:50",0,0,1004.231,1008.189
