Height (km),Zonal(U) (m/s),Meridional(V) (m/s),Vertical (W) (m/s)
0.315,4.0256,-0.72925,-0.44616
0.36026163,4.6465,-0.73184,-0.36405
0.40552326,5.1624,-0.04249,-0.31439
0.45078489,4.1093,-1.1005,-0.18298
0.49604652,4.9771,-1.7692,-0.15674
0.54130815,4.9721,-1.6735,-0.085301
0.58656978,4.9708,-1.3804,0.077306
0.63183141,7.0991,-2.308,0.2259
0.6770930399999999,7.4982,-2.4395,0.22784
0.7223546700000001,6.8682,-2.4999,0.13866
0.7676163,7.3193,-2.9258,0.18374
0.81287793,7.1771,-2.303,0.19
0.8581395599999999,6.239,-2.6537,0.1851
0.9034011900000001,5.4234,-3.0973,0.097016
0.94866282,4.7397,-3.8601,0.11465
0.99392445,5.8981,-4.0787,0.088129
1.0391861,6.4059,-4.6201,0.15699
1.0844477,6.9511,-3.5919,0.13837
1.1297093,9.2213,-2.5471,-0.12327
1.174971,8.7992,-2.437,-0.1494
1.2202326000000001,10.399,-2.6566,-0.16612
1.2654942,9.794,-2.7643,-0.079028
1.3107559000000002,9.5197,-3.0344,-0.030975
1.3560174999999999,10.205,-3.0837,-0.087118
1.4012791,9.6343,-2.3773,-0.076098
1.4465407000000001,8.5241,-2.6199,-0.083346
1.4918024,9.9912,-4.2816,-0.0043341
1.537064,10.743,-5.0369,0.0087797
1.5823255999999999,11.177,-4.7181,-0.017666
1.6275872999999998,10.911,-5.0214,0.056202
1.6728489,10.142,-5.2411,0.108
1.7181105,9.6651,-4.1965,0.044332
1.7633722,8.6647,-3.9988,0.066897
1.8086338,8.6998,-4.4093,0.039729
1.8538954,7.6923,-4.674,0.052806
1.899157,7.3854,-4.668,0.10016
1.9444187,7.491,-5.2636,0.080252
1.9896803,8.1415,-4.3361,0.027228
2.0349419,8.169,-4.344,-0.022946
2.0802036,7.3905,-3.8594,0.0015382
2.1254652000000003,7.489,-4.3217,0.015522
2.1707267999999997,7.5403,-5.0283,-0.019484
2.2159884,7.0403,-4.8465,-0.045019
2.2612501000000003,7.1403,-4.5152,-0.061524
2.3065117,7.5246,-4.0337,-0.11007
2.3517732999999996,8.0123,-4.3525,-0.1309
2.397035,7.5175,-4.2497,-0.1228
2.4422966,6.1726,-4.3903,-0.17092
2.4875582,5.8297,-5.0303,-0.15099
2.5328199,6.3095,-4.4821,-0.17958
